,respondent_id,city_of_residence,citizenship,data_id,reason_name,amount,currency,transaction_date,account,transaction_id,surveyor,tool,timeline,transaction_type,payment_type,date_created,date_last_updated,edit_count,description,file
91,254525,Mutare,Zimbabwe,IN00046891,Mdawini Tuckshop,2115.0,ZWL,2020-08-12,,,,,Full payment,,Full payment,2020-08-19,2020-08-19,0,,income
92,254525,Mutare,Zimbabwe,IN00046892,Mdawini Tuckshop,2205.0,ZWL,2020-08-13,,,,,Full payment,,Full payment,2020-08-19,2020-08-19,0,,income
93,254525,Mutare,Zimbabwe,IN00046893,Mdawini Tuckshop,1800.0,ZWL,2020-08-14,,,,,Full payment,,Full payment,2020-08-19,2020-08-19,0,,income
94,254525,Mutare,Zimbabwe,IN00046894,Mdawini Tuckshop,1620.0,ZWL,2020-08-15,,,,,Full payment,,Full payment,2020-08-19,2020-08-19,0,,income
95,254525,Mutare,Zimbabwe,IN00046895,Mdawini Tuckshop,2835.0,ZWL,2020-08-16,,,,,Full payment,,Full payment,2020-08-19,2020-08-19,0,,income
96,254525,Mutare,Zimbabwe,IN00046896,Mdawini Tuckshop,3000.0,ZWL,2020-08-17,,,,,Full payment,,Full payment,2020-08-19,2020-08-19,0,,income
97,254525,Mutare,Zimbabwe,IN00049440,Mdawini Tuckshop,2095.0,ZWL,2020-08-25,,,,,Full payment,,Full payment,2020-09-02,2020-09-02,0,,income
98,254525,Mutare,Zimbabwe,IN00049441,Mdawini Tuckshop,2457.0,ZWL,2020-08-26,,,,,Full payment,,Full payment,2020-09-02,2020-09-02,0,,income
99,254525,Mutare,Zimbabwe,IN00049442,Mdawini Tuckshop,2310.0,ZWL,2020-08-27,,,,,Full payment,,Full payment,2020-09-02,2020-09-02,0,,income
100,254525,Mutare,Zimbabwe,IN00049443,Mdawini Tuckshop,2285.0,ZWL,2020-08-28,,,,,Full payment,,Full payment,2020-09-02,2020-09-02,0,,income
101,254525,Mutare,Zimbabwe,IN00049444,Mdawini Tuckshop,2267.5,ZWL,2020-08-29,,,,,Full payment,,Full payment,2020-09-02,2020-09-02,0,,income
102,254525,Mutare,Zimbabwe,IN00049445,Mdawini Tuckshop,2410.0,ZWL,2020-08-30,,,,,Full payment,,Full payment,2020-09-02,2020-09-02,0,,income
103,254525,Mutare,Zimbabwe,IN00050377,Mdawini Tuckshop,1900.0,ZWL,2020-09-01,,,,,Full payment,,Full payment,2020-09-10,2020-09-10,0,,income
104,254525,Mutare,Zimbabwe,IN00050379,Mdawini Tuckshop,1875.0,ZWL,2020-09-02,,,,,Full payment,,Full payment,2020-09-10,2020-09-10,0,,income
105,254525,Mutare,Zimbabwe,IN00050380,Mdawini Tuckshop,1756.7,ZWL,2020-09-04,,,,,Full payment,,Full payment,2020-09-10,2020-09-10,0,,income
106,254525,Mutare,Zimbabwe,IN00050381,Mdawini Tuckshop,1998.2,ZWL,2020-09-05,,,,,Full payment,,Full payment,2020-09-10,2020-09-10,0,,income
107,254525,Mutare,Zimbabwe,IN00050382,Mdawini Tuckshop,1835.0,ZWL,2020-09-06,,,,,Full payment,,Full payment,2020-09-10,2020-09-10,0,,income
108,254525,Mutare,Zimbabwe,IN00050383,Mdawini Tuckshop,1777.5,ZWL,2020-09-07,,,,,Full payment,,Full payment,2020-09-10,2020-09-10,0,,income
109,254525,Mutare,Zimbabwe,IN00050384,Mdawini Tuckshop,1915.0,ZWL,2020-09-08,,,,,Full payment,,Full payment,2020-09-10,2020-09-10,0,,income
110,254525,Mutare,Zimbabwe,IN00051255,Mdawini Tuckshop,2100.0,ZWL,2020-09-09,,,,,Full payment,,Full payment,2020-09-16,2020-09-16,0,,income
111,254525,Mutare,Zimbabwe,IN00051256,Mdawini Tuckshop,1500.0,ZWL,2020-09-10,,,,,Full payment,,Full payment,2020-09-16,2020-09-16,0,,income
112,254525,Mutare,Zimbabwe,IN00051257,Mdawini Tuckshop,2300.0,ZWL,2020-09-11,,,,,Full payment,,Full payment,2020-09-16,2020-09-16,0,,income
113,254525,Mutare,Zimbabwe,IN00051258,Mdawini Tuckshop,1553.0,ZWL,2020-09-12,,,,,Full payment,,Full payment,2020-09-16,2020-09-16,0,,income
114,254525,Mutare,Zimbabwe,IN00051259,Mdawini Tuckshop,1700.0,ZWL,2020-09-13,,,,,Full payment,,Full payment,2020-09-16,2020-09-16,0,,income
115,254525,Mutare,Zimbabwe,IN00051260,Mdawini Tuckshop,1607.0,ZWL,2020-09-14,,,,,Full payment,,Full payment,2020-09-16,2020-09-16,0,,income
